Year,Player,Position,Age,Team,Games,GamesStarted,MinutesPlayed,3Points,3PAttempts,2Points,2PAttempts,FreeThrows,FTAttempts,Fouls,Points
2017.0,Alex Abrines,SG,23.0,OKC,68.0,,1055.0,,,40.0,94.0,44.0,49.0,114.0,406.0
2017.0,Quincy Acy,PF,26.0,TOT,38.0,1,558.0,,,33.0,80.0,45.0,60.0,67.0,222.0
2017.0,Quincy Acy,PF,26.0,DAL,6.0,0,48.0,1,,4.0,10.0,2.0,3.0,9.0,13.0
2017.0,Quincy Acy,PF,26.0,BRK,32.0,1,510.0,,,29.0,70.0,43.0,57.0,58.0,209.0
2017.0,Steven Adams,C,23.0,OKC,80.0,,2389.0,0,1,374.0,654.0,157.0,257.0,195.0,905.0
2017.0,Arron Afflalo,SG,31.0,SAC,61.0,,1580.0,,,123.0,269.0,83.0,93.0,104.0,515.0
2017.0,Alexis Ajinca,C,28.0,NOP,39.0,,584.0,0,,89.0,174.0,29.0,40.0,77.0,207.0
2017.0,Cole Aldrich,C,28.0,MIN,62.0,0,531.0,0,0,45.0,86.0,15.0,22.0,85.0,105.0
2017.0,LaMarcus Aldridge,PF,31.0,SAS,72.0,,2335.0,,,477.0,993.0,220.0,271.0,158.0,1243.0
2017.0,Lavoy Allen,PF,27.0,IND,61.0,,871.0,0,1,77.0,167.0,23.0,33.0,78.0,177.0
2017.0,Tony Allen,SG,35.0,MEM,71.0,,1914.0,,,259.0,541.0,80.0,130.0,178.0,643.0
2017.0,Al-Farouq Aminu,SF,26.0,POR,61.0,,1773.0,,,113.0,254.0,96.0,136.0,102.0,532.0
2017.0,Chris Andersen,C,38.0,CLE,12.0,0,114.0,0,,9.0,19.0,10.0,14.0,20.0,28.0
2017.0,Alan Anderson,SF,34.0,LAC,30.0,0,308.0,,,16.0,36.0,12.0,16.0,35.0,86.0
2017.0,Justin Anderson,SF,23.0,TOT,75.0,,1228.0,,,128.0,245.0,102.0,129.0,109.0,532.0
2017.0,Justin Anderson,SF,23.0,DAL,51.0,,710.0,,,74.0,155.0,70.0,88.0,64.0,329.0
2017.0,Justin Anderson,SF,23.0,PHI,24.0,,518.0,,,54.0,90.0,32.0,41.0,45.0,203.0
2017.0,Kyle Anderson,SG,23.0,SAS,72.0,,1020.0,,,78.0,169.0,45.0,57.0,63.0,246.0
2017.0,Ryan Anderson,PF,28.0,HOU,72.0,,2116.0,,,119.0,267.0,129.0,150.0,142.0,979.0
2017.0,Giannis Antetokounmpo,SF,22.0,MIL,80.0,,2845.0,,,607.0,1079.0,471.0,612.0,246.0,1832.0
2017.0,Carmelo Anthony,SF,32.0,NYK,74.0,,2538.0,,,451.0,968.0,304.0,365.0,198.0,1659.0
2017.0,Joel Anthony,C,34.0,SAS,19.0,0,122.0,0,0,10.0,16.0,5.0,8.0,11.0,25.0
2017.0,Trevor Ariza,SF,31.0,HOU,80.0,,2773.0,,,135.0,243.0,93.0,126.0,133.0,936.0
2017.0,Darrell Arthur,PF,28.0,DEN,41.0,,639.0,,,42.0,98.0,19.0,22.0,76.0,262.0
2017.0,Omer Asik,C,30.0,NOP,31.0,,482.0,0,0,31.0,65.0,23.0,39.0,51.0,85.0
2017.0,D.J. Augustin,PG,29.0,ORL,78.0,,1538.0,,,100.0,243.0,131.0,161.0,101.0,616.0
2017.0,Luke Babbitt,SF,27.0,MIA,68.0,,1065.0,,,26.0,71.0,11.0,15.0,118.0,324.0
2017.0,Ron Baker,SG,23.0,NYK,52.0,,857.0,,,59.0,131.0,28.0,43.0,74.0,215.0
2017.0,Wade Baldwin,PG,20.0,MEM,33.0,1,405.0,,,33.0,93.0,31.0,37.0,40.0,106.0
2017.0,Leandro Barbosa,SG,34.0,PHO,67.0,0,963.0,,,137.0,294.0,40.0,45.0,82.0,419.0
2017.0,J.J. Barea,PG,32.0,DAL,35.0,,771.0,,,89.0,195.0,44.0,51.0,30.0,381.0
2017.0,Harrison Barnes,PF,24.0,DAL,79.0,,2803.0,,,521.0,1058.0,242.0,281.0,128.0,1518.0
2017.0,Matt Barnes,SF,36.0,TOT,74.0,,1777.0,,,98.0,210.0,70.0,89.0,185.0,527.0
2017.0,Matt Barnes,SF,36.0,SAC,54.0,,1367.0,,,78.0,172.0,50.0,66.0,138.0,413.0
2017.0,Matt Barnes,SF,36.0,GSW,20.0,,410.0,,,20.0,38.0,20.0,23.0,47.0,114.0
2017.0,Will Barton,SG,26.0,DEN,60.0,,1705.0,,,208.0,431.0,143.0,190.0,110.0,820.0
2017.0,Brandon Bass,PF,31.0,LAC,52.0,0,577.0,1,,106.0,183.0,77.0,88.0,45.0,292.0
2017.0,Nicolas Batum,SG,28.0,CHO,77.0,,2617.0,,,258.0,570.0,243.0,284.0,109.0,1164.0
2017.0,Jerryd Bayless,PG,28.0,PHI,3.0,1,71.0,,,9.0,27.0,9.0,10.0,4.0,33.0
2017.0,Aron Baynes,C,30.0,DET,75.0,,1163.0,0,0,143.0,279.0,79.0,94.0,166.0,365.0
2017.0,Kent Bazemore,SF,27.0,ATL,73.0,,1963.0,,,203.0,455.0,119.0,168.0,165.0,801.0
2017.0,Bradley Beal,SG,23.0,WAS,77.0,,2684.0,,,414.0,770.0,282.0,342.0,169.0,1779.0
2017.0,Malik Beasley,SG,20.0,DEN,22.0,1,165.0,,,24.0,45.0,8.0,10.0,10.0,83.0
2017.0,Michael Beasley,PF,28.0,MIL,56.0,,935.0,,,198.0,363.0,78.0,105.0,92.0,528.0
2017.0,Marco Belinelli,SG,30.0,CHO,74.0,0,1778.0,,,162.0,332.0,150.0,168.0,90.0,780.0
2017.0,DeAndre' Bembry,SF,22.0,ATL,38.0,1,371.0,1,,46.0,80.0,6.0,16.0,21.0,101.0
2017.0,Dragan Bender,PF,19.0,PHO,43.0,0,574.0,,,29.0,60.0,4.0,11.0,74.0,146.0
2017.0,Anthony Bennett,PF,23.0,BRK,23.0,1,264.0,,,25.0,44.0,26.0,36.0,18.0,115.0
2017.0,Ben Bentil,PF,21.0,DAL,3.0,0,10.0,0,1,0.0,2.0,0.0,0.0,1.0,0.0
2017.0,Davis Bertans,PF,24.0,SAS,67.0,,808.0,,,34.0,61.0,28.0,34.0,75.0,303.0
2017.0,Patrick Beverley,SG,28.0,HOU,67.0,,2058.0,,,118.0,255.0,73.0,95.0,222.0,639.0
2017.0,Bismack Biyombo,C,24.0,ORL,81.0,,1793.0,0,0,179.0,339.0,125.0,234.0,202.0,483.0
2017.0,Nemanja Bjelica,PF,28.0,MIN,65.0,1,1190.0,,,95.0,179.0,45.0,61.0,154.0,403.0
2017.0,Tarik Black,C,25.0,LAL,67.0,,1091.0,1,,149.0,292.0,82.0,109.0,173.0,383.0
2017.0,Eric Bledsoe,PG,27.0,PHO,66.0,,2176.0,,,345.0,724.0,388.0,458.0,164.0,1390.0
2017.0,Bojan Bogdanovic,SF,27.0,TOT,81.0,,2083.0,,,232.0,453.0,217.0,243.0,146.0,1113.0
2017.0,Bojan Bogdanovic,SF,27.0,BRK,55.0,,1482.0,,,170.0,334.0,146.0,167.0,99.0,783.0
2017.0,Bojan Bogdanovic,SF,27.0,WAS,26.0,0,601.0,,,62.0,119.0,71.0,76.0,47.0,330.0
2017.0,Andrew Bogut,C,32.0,TOT,27.0,,583.0,0,1,38.0,80.0,3.0,11.0,86.0,79.0
2017.0,Andrew Bogut,C,32.0,DAL,26.0,,582.0,0,1,38.0,80.0,3.0,11.0,84.0,79.0
2017.0,Andrew Bogut,C,32.0,CLE,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
2017.0,Joel Bolomboy,PF,23.0,UTA,12.0,0,53.0,1,,8.0,12.0,3.0,6.0,1.0,22.0
2017.0,Devin Booker,SG,20.0,PHO,78.0,,2730.0,,,459.0,1026.0,367.0,441.0,242.0,1726.0
2017.0,Trevor Booker,PF,29.0,BRK,71.0,,1754.0,,,280.0,513.0,74.0,110.0,152.0,709.0
2017.0,Avery Bradley,SG,26.0,BOS,55.0,,1835.0,,,251.0,498.0,68.0,93.0,141.0,894.0
2017.0,Corey Brewer,SF,30.0,TOT,82.0,,1281.0,,,120.0,230.0,50.0,68.0,133.0,371.0
2017.0,Corey Brewer,SF,30.0,HOU,58.0,,923.0,,,72.0,133.0,32.0,44.0,104.0,242.0
2017.0,Corey Brewer,SF,30.0,LAL,24.0,,358.0,,,48.0,97.0,18.0,24.0,29.0,129.0
